epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9125437140464783,0.0010000000474974513,0.22364068031311035,0.9232954382896423,0.18238388001918793
1,0.981509268283844,0.0010000000474974513,0.058060385286808014,0.9801136255264282,0.05306222289800644
2,0.9785107374191284,0.0010000000474974513,0.06204899773001671,0.9857954382896423,0.040689617395401
3,0.9855072498321533,0.0010000000474974513,0.040060143917798996,0.9772727489471436,0.03945287689566612
4,0.9850075244903564,0.0010000000474974513,0.05141572654247284,0.9829545617103577,0.05628272518515587
5,0.9865067601203918,0.0010000000474974513,0.04449416324496269,0.9801136255264282,0.06076803058385849
6,0.9885057210922241,0.0005000000237487257,0.03527706861495972,0.9914772510528564,0.03255683556199074
7,0.9890055060386658,0.0005000000237487257,0.03179658204317093,0.9914772510528564,0.029513556510210037
8,0.9925037622451782,0.0005000000237487257,0.02640368975698948,0.9914772510528564,0.021771205589175224
9,0.9930034875869751,0.0005000000237487257,0.026302793994545937,0.9829545617103577,0.029997121542692184
