epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9835082292556763,9.999999747378752e-05,0.051008112728595734,0.7017045617103577,3.2120256423950195
1,0.9890055060386658,9.999999747378752e-05,0.044223032891750336,0.7698863744735718,2.1617767810821533
2,0.9900050163269043,9.999999747378752e-05,0.04583185911178589,0.9119318127632141,0.6162824630737305
3,0.9965017437934875,9.999999747378752e-05,0.017978446558117867,0.8892045617103577,0.582087516784668
4,0.9930034875869751,9.999999747378752e-05,0.020360467955470085,0.7954545617103577,1.8195399045944214
5,0.9940029978752136,9.999999747378752e-05,0.019324105232954025,0.9119318127632141,0.7471516132354736
6,0.9945027232170105,9.999999747378752e-05,0.028863057494163513,0.9715909361839294,0.11329872161149979
7,0.9960020184516907,9.999999747378752e-05,0.013767180033028126,0.9801136255264282,0.22856274247169495
8,0.998000979423523,9.999999747378752e-05,0.004855237435549498,0.9772727489471436,0.16853101551532745
9,0.9960020184516907,9.999999747378752e-05,0.015437213703989983,0.9801136255264282,0.08959334343671799
10,0.9985007643699646,9.999999747378752e-05,0.0028609996661543846,0.9715909361839294,0.1701280027627945
11,0.9995002746582031,9.999999747378752e-05,0.0018188176909461617,0.9630681872367859,0.1820221096277237
12,0.9985007643699646,9.999999747378752e-05,0.007256794720888138,0.9772727489471436,0.17794376611709595
13,0.9970015287399292,2.9999999242136255e-05,0.007399979513138533,0.9772727489471436,0.09148707985877991
14,0.9965017437934875,2.9999999242136255e-05,0.01689857617020607,0.9886363744735718,0.01495983637869358
15,0.998000979423523,2.9999999242136255e-05,0.01039667334407568,0.9829545617103577,0.039512500166893005
16,0.9995002746582031,2.9999999242136255e-05,0.0016706155147403479,0.9829545617103577,0.05522748455405235
17,0.9990004897117615,2.9999999242136255e-05,0.0033442662097513676,0.9943181872367859,0.02009402960538864
18,0.9985007643699646,8.999999408842996e-06,0.002166113117709756,0.9886363744735718,0.05355264991521835
19,0.9985007643699646,8.999999408842996e-06,0.014910508878529072,0.9886363744735718,0.08242196589708328
